trialnum	block_id	stim	stim_idx	delay	catch_trial	start_time	visual_onset_time	visual_off_time	lag_mean	fix_time
1	1	Fluttering curtains revealed glimpses of the mysterious neighbor's activities. Scrambling students struggled with difficult calculus problems before examinations.	10	150	0	NaN	24321.4675938	24328.7316235	NaN	24319.4370214
2	1	Spinning wheels created intricate patterns on expensive Persian carpets. Happy hunters hurried through thick underbrush seeking elusive deer.	7	150	0	NaN	24336.8241721	24344.0899436	NaN	24334.8018275
